[20260820_16:43:27_780]#1967263 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:27_781]#1967265 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0047 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:28_116]#1967296 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:28_116]#1967297 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0041 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:28_127]#1967326 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:28_128]#1967327 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0023 link hplc txType 0 bakRt 2 0008 0009 packs=0
[20260820_16:43:28_467]#1967360 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:28_467]#1967362 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0039 link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:43:28_803]#1967392 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:28_803]#1967393 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0037 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:28_830]#1967417 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:29_143]#1967419 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0046 link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:43:29_155]#1967451 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:29_155]#1967452 | info | nwk.c (349)| aps tx retry_cnt 0 dst 002a link hplc txType 0 bakRt 2 0009 0023 packs=0
[20260820_16:43:29_496]#1967487 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:29_496]#1967489 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0029 link hplc txType 0 bakRt 2 0009 0023 packs=0
[20260820_16:43:29_831]#1967519 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:29_831]#1967521 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0042 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:29_844]#1967548 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:29_845]#1967550 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0038 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:31_860]#1971546 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000001,3,1,1,1,1967262,1971546,4284
[20260820_16:43:32_470]#1971605 | info | nwk.c (255)| aps tx dst=
